#Name,Field,RA,DEC,u_mag,v_mag,g_mag,r_mag,i_mag,z_mag,y_mag,j_mag,h_mag,k_mag,lprime_mag,m_mag
110_312,SA110-361,18.7303,0.00169444,16.80722,16.093,16.73526,15.63264,14.684,14.1578,None,None,None,None,None,None
110_315,SA110-361,18.7311,0.0137222,18.80474,13.637,14.68426,12.84664,11.9263,11.4064,None,None,None,None,None,None
110_316,SA110-361,18.7312,0.0178611,22.59789,14.821,15.68574,14.17936,13.4776,13.0561,None,None,None,None,None,None
110_319,SA110-361,18.732,0.0334444,15.04894,11.861,12.49786,11.40504,10.909,10.624,None,None,None,None,None,None
110_339,SA110-361,18.6907,0.140361,16.2226,13.607,14.07052,13.29228,13.0236,12.8894,None,None,None,None,None,None
110_340,SA110-361,18.6912,0.256389,11.40753,10.025,10.11862,10.01168,10.0233,10.075,None,None,None,None,None,None
110_346,SA110-361,18.6987,0.166194,17.34662,14.757,15.22646,14.43744,13.9944,13.7445,None,None,None,None,None,None
110_349,SA110-361,18.7037,0.170889,17.62096,15.095,15.61252,14.73628,14.9841,15.1924,None,None,None,None,None,None
110_355,SA110-361,18.7053,0.140056,14.21674,11.944,12.42642,11.61388,11.0914,10.7889,None,None,None,None,None,None
110_358,SA110-361,18.7099,0.250889,16.597,14.43,14.92106,14.09284,13.7507,13.5677,None,None,None,None,None,None
110_360,SA110-361,18.7112,0.152972,17.03125,14.618,15.19438,14.21132,13.6987,13.4026,None,None,None,None,None,None
110_361,SA110-361,18.7125,0.134639,13.86283,12.425,12.69628,12.26692,12.1159,12.0597,None,None,None,None,None,None
110_362,SA110-361,18.7134,0.107694,22.67509,15.693,16.34282,15.22648,14.5492,14.1439,None,None,None,None,None,None
110_364,SA110-361,18.7147,0.131917,16.73317,13.615,14.15682,13.23648,12.8532,12.6429,None,None,None,None,None,None
110_365,SA110-361,18.716,0.123083,18.26129,13.47,14.62094,12.59516,11.4818,10.9208,None,None,None,None,None,None
110_441,SA110-361,18.726,0.327972,12.61966,11.121,11.3507,10.9968,10.8575,10.8091,None,None,None,None,None,None
110_450,SA110-361,18.731,0.382889,14.06379,11.585,12.02476,11.28964,10.8671,10.6309,None,None,None,None,None,None
110_477,SA110-361,18.6953,0.445195,16.71525,13.988,14.6443,13.5162,12.8663,12.4793,None,None,None,None,None,None
110_496,SA110-361,18.7165,0.519194,15.59581,13.004,13.4956,12.6664,12.189,11.9164,None,None,None,None,None,None
110_497,SA110-361,18.7174,0.515778,16.31948,14.196,14.69408,13.85312,13.4581,13.24,None,None,None,None,None,None
110_499,SA110-361,18.7188,0.467083,14.16985,11.737,12.19998,11.42272,10.9522,10.6841,None,None,None,None,None,None
110_502,SA110-361,18.7195,0.46175,17.72962,12.33,13.51604,11.42656,10.3416,9.78656,None,None,None,None,None,None
110_503,SA110-361,18.7199,0.49525,13.85832,11.773,12.06534,11.59776,11.3605,11.2471,None,None,None,None,None,None
110_504,SA110-361,18.7199,0.501278,17.50551,14.022,14.62592,13.59288,13.1135,12.8396,None,None,None,None,None,None
110_506,SA110-361,18.7219,0.507528,12.74719,11.312,11.54872,11.18208,11.0663,11.0335,None,None,None,None,None,None
110_507,SA110-361,18.722,0.490556,15.21004,12.44,12.98614,12.05796,11.6805,11.4742,None,None,None,None,None,None
110_L1,SA110-361,18.7139,0.120167,22.17557,16.252,17.12808,15.60112,14.819,14.3442,None,None,None,None,None,None
92_188,SA92-250,0.919578,0.385889,17.36683,14.751,15.248,14.409,14.0375,13.835,None,None,None,None,None,None
92_235,SA92-250,0.887925,0.808028,15.16824,10.595,11.40952,9.99428,9.2915,8.86935,None,None,None,None,None,None
92_245,SA92-250,0.904483,0.665139,17.21509,13.818,14.51372,13.31408,12.6152,12.1957,None,None,None,None,None,None
92_248,SA92-250,0.908547,0.671389,18.71949,15.346,15.88512,14.96968,14.6177,14.4283,None,None,None,None,None,None
92_249,SA92-250,0.90933,0.684833,16.07166,14.325,14.63246,14.13744,13.9648,13.8943,None,None,None,None,None,None
92_250,SA92-250,0.910322,0.649333,15.30596,13.178,13.54756,12.93984,12.7437,12.6576,None,None,None,None,None,None
92_252,SA92-250,0.913125,0.656806,16.07498,14.932,15.14118,14.82452,14.6892,14.6434,None,None,None,None,None,None
92_253,SA92-250,0.914269,0.672139,17.01589,14.085,14.62574,13.70736,13.2937,13.0633,None,None,None,None,None,None
92_259,SA92-250,0.922669,0.675278,16.53732,14.997,15.27368,14.83452,14.5816,14.4578,None,None,None,None,None,None
92_260,SA92-250,0.924747,0.618806,18.23143,15.071,15.62848,14.67972,14.2739,14.0487,None,None,None,None,None,None
92_263,SA92-250,0.927606,0.605417,14.51911,11.782,12.27792,11.44088,11.1193,10.95,None,None,None,None,None,None
92_276,SA92-250,0.940722,0.697417,13.51477,12.036,12.30566,11.87924,11.7194,11.6573,None,None,None,None,None,None
92_282,SA92-250,0.946339,0.641528,14.14018,12.969,13.07072,12.94908,12.9225,12.9488,None,None,None,None,None,None
92_288,SA92-250,0.954725,0.613528,13.76946,11.63,12.0217,11.3738,11.1316,11.015,None,None,None,None,None,None
92_309,SA92-250,0.887236,0.76725,15.1371,13.842,14.04902,13.73628,13.6078,13.5665,None,None,None,None,None,None
92_322,SA92-250,0.896378,0.793028,14.00846,12.676,12.89112,12.56368,12.4548,12.4265,None,None,None,None,None,None
92_330,SA92-250,0.912045,0.723917,16.27677,15.073,15.30972,14.94308,14.8058,14.7587,None,None,None,None,None,None
92_335,SA92-250,0.916194,0.733528,14.21252,12.523,12.81588,12.34732,12.2061,12.1564,None,None,None,None,None,None
92_339,SA92-250,0.917572,0.736389,16.63605,15.579,15.75146,15.50144,15.3592,15.3089,None,None,None,None,None,None
92_342,SA92-250,0.91942,0.72025,12.84258,11.613,11.77844,11.54116,11.4666,11.4611,None,None,None,None,None,None
92_345,SA92-250,0.923264,0.852028,16.82923,15.216,15.5483,15.0082,14.7317,14.5923,None,None,None,None,None,None
92_347,SA92-250,0.923911,0.846917,16.96621,15.752,15.97522,15.63308,15.5114,15.4747,None,None,None,None,None,None
92_348,SA92-250,0.92485,0.742472,13.5564,12.109,12.36192,11.96588,11.8217,11.7701,None,None,None,None,None,None
92_355,SA92-250,0.934911,0.846333,18.24089,14.965,15.52356,14.57284,14.1307,13.8815,None,None,None,None,None,None
92_364,SA92-250,0.947844,0.731556,13.00157,11.673,11.93078,11.52592,11.3661,11.304,None,None,None,None,None,None
92_409,SA92-250,0.919992,0.932667,13.8024,10.627,11.17152,10.24628,9.82378,9.58753,None,None,None,None,None,None
92_410,SA92-250,0.920625,1.03086,16.0707,14.984,15.12892,14.92888,14.8817,14.8944,None,None,None,None,None,None
92_412,SA92-250,0.921019,1.03178,16.13062,15.036,15.21278,14.95492,14.847,14.8194,None,None,None,None,None,None
92_417,SA92-250,0.925611,0.885333,16.98353,15.922,16.10958,15.83212,15.7232,15.695,None,None,None,None,None,None
92_425,SA92-250,0.932828,0.882945,17.19423,13.941,14.51414,13.53696,13.1125,12.875,None,None,None,None,None,None
92_426,SA92-250,0.933222,0.881805,16.15438,14.466,14.78966,14.26524,14.0672,13.9798,None,None,None,None,None,None
92_427,SA92-250,0.93518,1.00581,16.90802,14.953,15.31986,14.71704,11.2578,10.2012,None,None,None,None,None,None
92_430,SA92-250,0.937556,0.888417,15.74298,14.44,14.67618,14.31052,14.1693,14.1196,None,None,None,None,None,None
92_433,SA92-250,0.948258,1.01161,13.217,11.667,11.9507,11.4988,11.3478,11.2916,None,None,None,None,None,None
92_497,SA92-250,0.931764,1.19506,15.42747,13.642,13.96566,13.44124,13.2608,13.1851,None,None,None,None,None,None
92_498,SA92-250,0.932369,1.17803,17.05942,14.408,14.8834,14.0836,13.7532,13.5781,None,None,None,None,None,None
92_500,SA92-250,0.932775,1.17364,17.71325,15.841,16.31262,15.51968,15.1227,14.9033,None,None,None,None,None,None
92_501,SA92-250,0.933364,1.18092,14.42784,12.958,13.2174,12.8096,12.6752,12.6301,None,None,None,None,None,None
92_502,SA92-250,0.935592,1.07364,12.99809,11.812,12.00444,11.71816,11.622,11.6022,None,None,None,None,None,None
92_507,SA92-250,0.947439,1.09992,13.80032,11.332,11.76528,11.04192,10.7801,10.6505,None,None,None,None,None,None
92_508,SA92-250,0.947555,1.1595,12.95215,11.679,11.89466,11.56624,11.4426,11.4046,None,None,None,None,None,None
95_100,SA95-100,3.88355,0.00436111,17.17797,15.633,15.99014,15.40496,15.1824,15.0787,None,None,None,None,None,None
95_101,SA95-100,3.88449,0.0471667,14.49691,12.677,13.02712,12.45468,12.2272,12.1203,None,None,None,None,None,None
95_102,SA95-100,3.88544,0.0196389,17.428,15.622,16.09254,15.30156,14.8859,14.6542,None,None,None,None,None,None
95_105,SA95-100,3.88926,-0.00519445,15.98495,13.574,14.03104,13.26456,12.9293,12.7509,None,None,None,None,None,None
95_106,SA95-100,3.89033,0.0229444,17.35331,15.137,15.74254,14.70656,14.3987,14.2385,None,None,None,None,None,None
95_107,SA95-100,3.89046,0.0389722,19.52291,16.275,16.91996,15.81244,15.0597,14.6044,None,None,None,None,None,None
95_112,SA95-100,3.89448,-0.0198611,17.01189,15.502,15.78948,15.33072,14.9131,14.6801,None,None,None,None,None,None
95_115,SA95-100,3.89662,-0.0131667,16.30912,14.68,15.06144,14.43216,14.0547,13.8484,None,None,None,None,None,None
95_132,SA95-100,3.91436,0.0892778,13.75492,12.064,12.23592,11.98688,11.8956,11.8791,None,None,None,None,None,None
95_137,SA95-100,3.9177,0.0573889,17.78766,14.44,15.15678,13.91892,13.2808,12.9016,None,None,None,None,None,None
95_139,SA95-100,3.91796,0.0521667,14.64483,12.196,12.62442,11.90988,11.6334,11.494,None,None,None,None,None,None
95_142,SA95-100,3.91928,0.0223889,14.42353,12.927,13.17452,12.78828,12.6108,12.537,None,None,None,None,None,None
95_149,SA95-100,3.92901,0.117472,14.92834,10.938,11.72822,10.35708,9.7523,9.39515,None,None,None,None,None,None
95_15,SA95-100,3.87787,-0.0896667,12.94529,11.302,11.61648,11.10872,10.9214,10.8412,None,None,None,None,None,None
95_16,SA95-100,3.87795,-0.0848889,17.8265,14.313,14.94824,13.85836,13.3859,13.1165,None,None,None,None,None,None
95_190,SA95-100,3.88701,0.272945,14.14586,12.627,12.71198,12.62072,12.5951,12.6221,None,None,None,None,None,None
95_193,SA95-100,3.88905,0.27625,17.68981,14.338,14.92194,13.92516,13.5115,13.2811,None,None,None,None,None,None
95_218,SA95-100,3.91388,0.169,13.80396,12.095,12.40732,11.90348,11.7309,11.6604,None,None,None,None,None,None
95_227,SA95-100,3.9191,0.242889,17.29056,15.779,16.12534,15.55976,15.2088,15.02,None,None,None,None,None,None
95_231,SA95-100,3.92745,0.178722,15.90509,14.216,14.39008,14.13712,14.0429,14.0244,None,None,None,None,None,None
95_236,SA95-100,3.93704,0.146417,13.1539,11.491,11.81844,11.28716,11.0744,10.9772,None,None,None,None,None,None
95_252,SA95-100,3.88629,0.456278,18.79482,15.394,16.10808,14.87512,14.3331,14.0175,None,None,None,None,None,None
95_263,SA95-100,3.89639,0.444639,16.61247,12.679,13.419,12.139,11.6322,11.3401,None,None,None,None,None,None
95_271,SA95-100,3.90453,0.314472,16.63226,13.669,14.29398,13.22272,12.7101,12.414,None,None,None,None,None,None
95_275,SA95-100,3.91229,0.455639,17.79522,13.479,14.36102,12.82328,12.1009,11.6657,None,None,None,None,None,None
95_276,SA95-100,3.91274,0.431667,17.44944,14.118,14.7095,13.699,13.2559,13.006,None,None,None,None,None,None
95_284,SA95-100,3.92821,0.443805,16.90101,13.669,14.35392,13.17388,12.6132,12.2853,None,None,None,None,None,None
95_285,SA95-100,3.92892,0.419444,18.05197,15.561,15.99698,15.26872,14.8688,14.6475,None,None,None,None,None,None
95_301,SA95-100,3.8781,0.52266,14.68628,11.216,11.8426,10.7684,10.3508,10.1178,None,None,None,None,None,None
95_302,SA95-100,3.89503,0.52177,13.78401,11.694,12.0695,11.451,11.2294,11.1264,None,None,None,None,None,None
95_317,SA95-100,3.89561,0.497194,16.7014,13.449,14.0918,12.9882,12.4844,12.1942,None,None,None,None,None,None
95_328,SA95-100,3.90541,0.608805,17.12862,13.525,14.28228,12.97092,12.3103,11.9161,None,None,None,None,None,None
95_329,SA95-100,3.90664,0.618611,17.76005,14.617,15.18636,14.21604,13.7769,13.5296,None,None,None,None,None,None
95_330,SA95-100,3.90854,0.484806,17.27335,12.174,13.18346,11.41444,10.5264,10.0164,None,None,None,None,None,None
95_41,SA95-100,3.89478,-0.0423611,15.99263,14.06,14.47762,13.78268,13.3994,13.1891,None,None,None,None,None,None
95_42,SA95-100,3.89546,-0.0760556,15.06227,15.606,15.4199,15.8206,16.187,16.474,None,None,None,None,None,None
95_43,SA95-100,3.89684,-0.0505,12.10712,10.803,11.0084,10.6986,10.5789,10.5435,None,None,None,None,None,None
95_60,SA95-100,3.91376,-0.117806,15.16005,13.429,13.77804,13.20756,12.9575,12.8357,None,None,None,None,None,None
95_62,SA95-100,3.91678,-0.0483611,16.89043,13.538,14.1997,13.0618,12.5805,12.3053,None,None,None,None,None,None
95_66,SA95-100,3.91848,-0.158861,14.55021,12.892,13.2081,12.6974,12.4582,12.3435,None,None,None,None,None,None
95_74,SA95-100,3.92532,-0.153778,14.10142,11.531,12.06904,11.15556,10.7899,10.5913,None,None,None,None,None,None
95_96,SA95-100,3.88172,0.00522222,11.23514,10.01,10.01938,10.06532,10.1622,10.2705,None,None,None,None,None,None
95_97,SA95-100,3.88264,-0.00538889,16.86264,14.818,15.23724,14.53936,14.1943,14.0094,None,None,None,None,None,None
95_98,SA95-100,3.8834,0.0468889,17.5881,14.448,15.01574,14.04836,13.6308,13.3978,None,None,None,None,None,None
98_1002,SA98-670,6.86197,-0.264528,15.89205,14.568,14.80796,14.43544,14.254,14.1777,None,None,None,None,None,None
98_1082,SA98-670,6.87227,-0.237139,16.50957,15.01,15.3909,14.7626,14.346,14.1136,None,None,None,None,None,None
98_1087,SA98-670,6.87253,-0.264,18.05802,14.439,15.2303,13.8572,13.1828,12.7795,None,None,None,None,None,None
98_1102,SA98-670,6.87443,-0.228639,13.45093,12.113,12.21256,12.09484,12.0937,12.137,None,None,None,None,None,None
98_1112,SA98-670,6.87636,-0.257194,15.84494,13.975,14.34456,13.73684,13.5045,13.3943,None,None,None,None,None,None
98_1119,SA98-670,6.87686,-0.242139,13.31731,11.878,12.10554,11.75556,11.6525,11.6282,None,None,None,None,None,None
98_1122,SA98-670,6.8771,-0.284361,15.06629,14.09,14.3413,13.9482,13.705,13.5877,None,None,None,None,None,None
98_1124,SA98-670,6.87724,-0.275972,15.27024,13.707,13.8071,13.6884,13.6814,13.7208,None,None,None,None,None,None
98_185,SA98-670,6.86719,-0.456,11.84537,10.536,10.57508,10.56712,10.6356,10.725,None,None,None,None,None,None
98_193,SA98-670,6.86761,-0.455111,13.24936,10.03,10.5972,9.630799,9.29454,9.11549,None,None,None,None,None,None
98_556,SA98-670,6.8582,-0.414111,15.5371,14.137,14.24952,14.10828,14.0601,14.0722,None,None,None,None,None,None
98_557,SA98-670,6.85819,-0.418417,18.01014,14.78,15.46438,14.28532,13.7491,13.4375,None,None,None,None,None,None
98_562,SA98-670,6.85852,-0.316333,13.51422,12.185,12.39688,12.07532,11.9684,11.9414,None,None,None,None,None,None
98_563,SA98-670,6.85876,-0.440472,15.18394,14.162,14.31664,14.09896,13.9783,13.9423,None,None,None,None,None,None
98_580,SA98-670,6.86104,-0.445,16.37917,14.728,14.85618,14.68652,14.5776,14.5494,None,None,None,None,None,None
98_581,SA98-670,6.86109,-0.428333,15.94865,14.556,14.61452,14.57128,14.5222,14.5336,None,None,None,None,None,None
98_590,SA98-670,6.86194,-0.371917,17.55657,14.642,15.30208,14.16712,13.6251,13.3095,None,None,None,None,None,None
98_614,SA98-670,6.86356,-0.343917,17.82869,15.674,16.17802,15.32628,14.8842,14.6349,None,None,None,None,None,None
98_618,SA98-670,6.86377,-0.354389,17.8082,12.723,13.83668,11.87852,10.9341,10.4088,None,None,None,None,None,None
98_624,SA98-670,6.86439,-0.337806,15.81216,13.811,14.16814,13.58296,13.377,13.2844,None,None,None,None,None,None
98_626,SA98-670,6.86455,-0.345361,17.98635,14.758,15.44724,14.25936,13.6497,13.2893,None,None,None,None,None,None
98_627,SA98-670,6.86473,-0.366972,16.4258,14.9,15.20206,14.71684,14.5276,14.446,None,None,None,None,None,None
98_634,SA98-670,6.86549,-0.348639,16.17097,14.608,14.88738,14.44332,14.2688,14.197,None,None,None,None,None,None
98_642,SA98-670,6.86639,-0.358806,17.07128,15.29,15.52834,15.15876,14.9636,14.8782,None,None,None,None,None,None
98_646,SA98-670,6.8673,-0.354472,19.35798,15.839,16.3414,15.4926,15.1887,15.0311,None,None,None,None,None,None
98_650,SA98-670,6.86793,-0.327306,13.55208,12.271,12.28578,12.32192,12.4276,12.5417,None,None,None,None,None,None
98_652,SA98-670,6.86801,-0.365472,16.36452,14.817,15.07694,14.66816,14.5259,14.4756,None,None,None,None,None,None
98_653,SA98-670,6.86804,-0.305083,10.45517,9.539,9.46684,9.660759,9.84292,10.0077,None,None,None,None,None,None
98_666,SA98-670,6.86943,-0.392222,13.86524,12.732,12.75056,12.77984,12.864,12.9638,None,None,None,None,None,None
98_670,SA98-670,6.86986,-0.321222,15.45853,11.93,12.59224,11.45336,11.0034,10.749,None,None,None,None,None,None
98_671,SA98-670,6.86995,-0.307028,15.91399,13.385,13.83772,13.07908,12.785,12.6339,None,None,None,None,None,None
98_675,SA98-670,6.87037,-0.327889,18.05374,13.398,14.35886,12.67804,11.8861,11.4055,None,None,None,None,None,None
98_676,SA98-670,6.87048,-0.322278,15.62262,13.068,13.61684,12.68376,12.2142,11.9468,None,None,None,None,None,None
98_682,SA98-670,6.87125,-0.328056,15.27062,13.749,14.02028,13.59092,13.436,13.3772,None,None,None,None,None,None
98_685,SA98-670,6.8718,-0.33875,13.3817,11.954,12.13402,11.87028,11.7859,11.7739,None,None,None,None,None,None
98_688,SA98-670,6.87191,-0.392444,14.28807,12.754,12.84222,12.74508,12.7587,12.8117,None,None,None,None,None,None
98_724,SA98-670,6.87701,-0.322333,13.96648,11.118,11.64416,10.75224,10.4258,10.2532,None,None,None,None,None,None
98_733,SA98-670,6.8778,-0.287417,15.42761,12.238,12.8619,11.7926,11.3456,11.0931,None,None,None,None,None,None
98_961,SA98-670,6.8575,-0.260028,16.16581,13.089,13.71182,12.64448,12.1857,11.9254,None,None,None,None,None,None
98_966,SA98-670,6.85786,-0.27375,15.77907,14.001,14.18426,13.91464,13.7803,13.7351,None,None,None,None,None,None
98_978,SA98-670,6.85937,-0.192111,12.07588,10.572,10.83086,10.42404,10.2985,10.2592,None,None,None,None,None,None
98_L1,SA98-670,6.86084,-0.443417,18.4253,15.672,16.27322,15.24508,14.7373,14.4445,None,None,None,None,None,None
98_L2,SA98-670,6.86126,-0.366444,19.62361,15.859,16.5126,15.3894,15.0188,14.817,None,None,None,None,None,None
98_L3,SA98-670,6.86173,-0.265389,19.15265,14.614,15.58944,13.88216,13.0461,12.552,None,None,None,None,None,None
98_L4,SA98-670,6.86173,-0.272639,19.55214,16.332,16.98776,15.86064,15.2813,14.9411,None,None,None,None,None,None
98_L5,SA98-670,6.87103,-0.328972,19.743,17.8,18.756,17.084,14.082,13.122,None,None,None,None,None,None
EG141,34,20.7096,-20.0763,None,None,None,None,None,None,12.76,12.883,12.93,13.0,None,None
F108,32,23.2701,-1.84294,None,None,None,None,13.26,13.36,13.469,13.57,13.663,13.746,None,None
F11,3,1.07267,4.22667,None,None,None,None,12.39,12.45,12.506,12.649,12.739,12.84,None,None
F16,5,1.90963,-6.76678,None,None,None,None,12.4,None,12.329,12.359,12.336,12.349,None,None
F22,6,2.50462,5.26419,None,None,None,None,13.04,13.06,13.192,13.271,13.321,13.404,None,None
G158-100,1,0.565133,-12.1328,None,None,None,None,13.92,13.72,13.738,13.427,13.059,12.984,None,None
G162-66,19,10.5619,-11.694,None,None,None,None,13.32,13.35,13.535,13.625,13.691,13.789,None,None
G163-50,20,11.1333,-5.15725,None,None,None,None,13.24,13.26,13.389,13.427,13.457,13.509,None,None
G93-48,29,21.8737,2.38908,None,None,None,None,12.96,12.98,13.143,13.215,13.255,13.33,None,None
GD140,21,11.6181,29.7996,None,None,None,None,12.8,12.89,12.953,13.021,13.075,13.167,None,None
GD153,33,12.9506,22.0313,None,None,None,None,None,None,13.929,14.085,14.165,14.296,None,None
GD246,31,23.206,10.7845,None,None,None,None,13.49,13.57,13.735,13.845,13.961,14.064,None,None
GD50,10,3.81394,-0.975333,None,None,None,None,14.46,14.5,14.688,14.802,14.878,14.99,None,None
GD71,12,5.87435,15.8873,None,None,None,None,13.4,13.49,13.657,13.71,13.805,13.899,None,None
Hy214,114,4.32826,16.7562,None,None,None,None,None,None,15.139,14.373,13.876,13.434,None,None
J135855.6-110740,DLS 1359-11,13.9821,-11.128,17.469,None,16.465,16.064,15.883,15.811,None,None,None,None,None,None
J135855.7-110115,DLS 1359-11,13.9822,-11.0209,17.345,None,15.871,15.299,15.078,14.972,None,None,None,None,None,None
J135858.0-110002,DLS 1359-11,13.9828,-11.0007,None,None,17.319,16.129,15.605,15.287,None,None,None,None,None,None
J135859.6-110932,DLS 1359-11,13.9832,-11.159,None,None,17.345,16.817,16.483,16.262,None,None,None,None,None,None
J135900.0-105724,DLS 1359-11,13.9833,-10.9568,None,None,17.477,16.37,15.915,15.716,None,None,None,None,None,None
J135900.2-110951,DLS 1359-11,13.9834,-11.1644,16.401,None,15.498,15.196,15.064,15.05,None,None,None,None,None,None
J135901.4-105850,DLS 1359-11,13.9837,-10.9807,17.215,None,16.101,15.67,15.506,15.45,None,None,None,None,None,None
